CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44537;02/04/2017;R$ 32,96;R$ 0,48;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);35650;02/04/2017;R$ 32,89;R$ 0,22;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);33075;02/04/2017;R$ 95,54;R$ 1,41;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);47663;02/04/2017;R$ 33,02;R$ 0,50;CALCULADO
77.488.005/0010-20;POSTO BOA VISTA LTDA 8;158739;02/04/2017;R$ 2,99;R$ 0,01;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38664;02/04/2017;R$ 33,00;R$ 0,50;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38153;02/04/2017;R$ 32,61;R$ 0,50;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36713;02/04/2017;R$ 267,57;R$ 3,94;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);33102;02/04/2017;R$ 32,40;R$ 0,47;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);58155;02/04/2017;R$ 35,72;R$ 0,54;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);47500;02/04/2017;R$ 613,61;R$ 9,44;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);33024;02/04/2017;R$ 33,00;R$ 0,22;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42284;02/04/2017;R$ 498,28;R$ 7,04;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);56472;02/04/2017;R$ 578,66;R$ 8,18;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38171;02/04/2017;R$ 517,74;R$ 7,96;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);35093;02/04/2017;R$ 473,90;R$ 6,70;CALCULADO
