CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49737;02/03/2017;R$ 32,62;R$ 0,40;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51555;02/03/2017;R$ 1,99;R$ 0,02;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);31748;02/03/2017;R$ 26,73;R$ 0,32;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);51542;02/03/2017;R$ 2,41;R$ 0,02;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);32910;02/03/2017;R$ 17,27;R$ 0,19;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);36033;02/03/2017;R$ 6,09;R$ 0,06;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);47222;02/03/2017;R$ 27,48;R$ 0,31;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49679;02/03/2017;R$ 9,60;R$ 0,11;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);39090;02/03/2017;R$ 18,83;R$ 0,24;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36646;02/03/2017;R$ 94,98;R$ 1,21;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);28876;02/03/2017;R$ 15,96;R$ 0,20;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11228;02/03/2017;R$ 13,33;R$ 0,06;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15984;02/03/2017;R$ 18,58;R$ 0,23;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);30367;02/03/2017;R$ 6,72;R$ 0,03;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80046;02/03/2017;R$ 32,00;R$ 0,02;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38895;02/03/2017;R$ 2,51;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44470;02/03/2017;R$ 41,55;R$ 0,53;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);47885;02/03/2017;R$ 21,95;R$ 0,28;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);39108;02/03/2017;R$ 26,34;R$ 0,33;CALCULADO
