CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28015;01/03/2017;R$ 8,00;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28093;01/03/2017;R$ 5,00;R$ 0,02;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);35961;01/03/2017;R$ 9,18;R$ 0,10;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);16650;01/03/2017;R$ 47,93;R$ 0,54;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28077;01/03/2017;R$ 22,50;R$ 0,11;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28074;01/03/2017;R$ 5,50;R$ 0,02;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);35966;01/03/2017;R$ 38,92;R$ 0,43;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);17040;01/03/2017;R$ 51,26;R$ 0,26;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28049;01/03/2017;R$ 17,50;R$ 0,09;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28046;01/03/2017;R$ 16,00;R$ 0,08;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44349;01/03/2017;R$ 18,91;R$ 0,24;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34101;01/03/2017;R$ 52,27;R$ 0,66;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34635;01/03/2017;R$ 93,72;R$ 1,19;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79907;01/03/2017;R$ 22,50;R$ 0,02;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);30119;01/03/2017;R$ 7,69;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34541;01/03/2017;R$ 7,74;R$ 0,09;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37906;01/03/2017;R$ 76,95;R$ 0,98;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);30896;01/03/2017;R$ 27,35;R$ 0,14;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31656;01/03/2017;R$ 27,20;R$ 0,34;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31655;01/03/2017;R$ 27,95;R$ 0,35;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38894;01/03/2017;R$ 32,31;R$ 0,41;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);62284;01/03/2017;R$ 52,44;R$ 0,27;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);31517;01/03/2017;R$ 68,58;R$ 0,35;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50416;01/03/2017;R$ 69,56;R$ 0,78;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);24783;01/03/2017;R$ 99,04;R$ 1,11;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38173;01/03/2017;R$ 6,30;R$ 0,08;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29766;01/03/2017;R$ 97,20;R$ 0,50;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29726;01/03/2017;R$ 496,79;R$ 2,57;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31500;01/03/2017;R$ 49,44;R$ 0,63;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44323;01/03/2017;R$ 39,24;R$ 0,50;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29743;01/03/2017;R$ 163,48;R$ 0,84;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34063;01/03/2017;R$ 25,64;R$ 0,32;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10052;01/03/2017;R$ 6,56;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34638;01/03/2017;R$ 3,48;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11208;01/03/2017;R$ 7,70;R$ 0,03;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4044;01/03/2017;R$ 7,15;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4045;01/03/2017;R$ 5,39;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4198;01/03/2017;R$ 12,06;R$ 0,00;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11173;01/03/2017;R$ 8,99;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11172;01/03/2017;R$ 5,19;R$ 0,02;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31593;01/03/2017;R$ 5,96;R$ 0,07;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31623;01/03/2017;R$ 37,72;R$ 0,48;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79876;01/03/2017;R$ 22,50;R$ 0,02;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10056;01/03/2017;R$ 2,63;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4068;01/03/2017;R$ 27,00;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4041;01/03/2017;R$ 13,40;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12524;01/03/2017;R$ 21,35;R$ 0,27;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4077;01/03/2017;R$ 11,28;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31732;01/03/2017;R$ 16,94;R$ 0,21;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44362;01/03/2017;R$ 5,98;R$ 0,07;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34045;01/03/2017;R$ 2,92;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34147;01/03/2017;R$ 40,45;R$ 0,51;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34551;01/03/2017;R$ 31,90;R$ 0,40;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28042;01/03/2017;R$ 8,75;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);29811;01/03/2017;R$ 2,32;R$ 0,01;CALCULADO
